  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=201       J=201      F=POINT
        0.00000            0.00000            300.00000
        0.00251            0.00000            300.00000
        0.00754            0.00000            300.00000
        0.01256            0.00000            300.00000
        0.01759            0.00000            300.00000
        0.02261            0.00000            300.00000
        0.02764            0.00000            300.00000
        0.03266            0.00000            300.00000
        0.03769            0.00000            300.00000
        0.04271            0.00000            300.00000
        0.04774            0.00000            300.00000
        0.05276            0.00000            300.00000
        0.05779            0.00000            300.00000
        0.06281            0.00000            300.00000
        0.06784            0.00000            300.00000
        0.07286            0.00000            300.00000
        0.07789            0.00000            300.00000
        0.08291            0.00000            300.00000
        0.08794            0.00000            300.00000
        0.09296            0.00000            300.00000
        0.09799            0.00000            300.00000
        0.10302            0.00000            300.00000
        0.10804            0.00000            300.00000
        0.11307            0.00000            300.00000
        0.11809            0.00000            300.00000
        0.12312            0.00000            300.00000
        0.12814            0.00000            300.00000
        0.13317            0.00000            300.00000
        0.13819            0.00000            300.00000
        0.14322            0.00000            300.00000
        0.14824            0.00000            300.00000
        0.15327            0.00000            300.00000
        0.15829            0.00000            300.00000
        0.16332            0.00000            300.00000
        0.16834            0.00000            300.00000
        0.17337            0.00000            300.00000
        0.17839            0.00000            300.00000
        0.18342            0.00000            300.00000
        0.18844            0.00000            300.00000
        0.19347            0.00000            300.00000
        0.19849            0.00000            300.00000
        0.20352            0.00000            300.00000
        0.20854            0.00000            300.00000
        0.21357            0.00000            300.00000
        0.21859            0.00000            300.00000
        0.22362            0.00000            300.00000
        0.22864            0.00000            300.00000
        0.23367            0.00000            300.00000
        0.23869            0.00000            300.00000
        0.24372            0.00000            300.00000
        0.24874            0.00000            300.00000
        0.25377            0.00000            300.00000
        0.25879            0.00000            300.00000
        0.26382            0.00000            300.00000
        0.26884            0.00000            300.00000
        0.27387            0.00000            300.00000
        0.27889            0.00000            300.00000
        0.28392            0.00000            300.00000
        0.28894            0.00000            300.00000
        0.29397            0.00000            300.00000
        0.29899            0.00000            300.00000
        0.30402            0.00000            300.00000
        0.30904            0.00000            300.00000
        0.31407            0.00000            300.00000
        0.31910            0.00000            300.00000
        0.32412            0.00000            300.00000
        0.32915            0.00000            300.00000
        0.33417            0.00000            300.00000
        0.33920            0.00000            300.00000
        0.34422            0.00000            300.00000
        0.34925            0.00000            300.00000
        0.35427            0.00000            300.00000
        0.35930            0.00000            300.00000
        0.36432            0.00000            300.00000
        0.36935            0.00000            300.00000
        0.37437            0.00000            300.00000
        0.37940            0.00000            300.00000
        0.38442            0.00000            300.00000
        0.38945            0.00000            300.00000
        0.39447            0.00000            300.00000
        0.39950            0.00000            300.00000
        0.40452            0.00000            300.00000
        0.40955            0.00000            300.00000
        0.41457            0.00000            300.00000
        0.41960            0.00000            300.00000
        0.42462            0.00000            300.00000
        0.42965            0.00000            300.00000
        0.43467            0.00000            300.00000
        0.43970            0.00000            300.00000
        0.44472            0.00000            300.00000
        0.44975            0.00000            300.00000
        0.45477            0.00000            300.00000
        0.45980            0.00000            300.00000
        0.46482            0.00000            300.00000
        0.46985            0.00000            300.00000
        0.47487            0.00000            300.00000
        0.47990            0.00000            300.00000
        0.48492            0.00000            300.00000
        0.48995            0.00000            300.00000
        0.49497            0.00000            300.00000
        0.50000            0.00000            300.00000
        0.50502            0.00000            300.00000
        0.51005            0.00000            300.00000
        0.51507            0.00000            300.00000
        0.52010            0.00000            300.00000
        0.52513            0.00000            300.00000
        0.53015            0.00000            300.00000
        0.53518            0.00000            300.00000
        0.54020            0.00000            300.00000
        0.54523            0.00000            300.00000
        0.55025            0.00000            300.00000
        0.55528            0.00000            300.00000
        0.56030            0.00000            300.00000
        0.56533            0.00000            300.00000
        0.57035            0.00000            300.00000
        0.57538            0.00000            300.00000
        0.58040            0.00000            300.00000
        0.58543            0.00000            300.00000
        0.59045            0.00000            300.00000
        0.59548            0.00000            300.00000
        0.60050            0.00000            300.00000
        0.60553            0.00000            300.00000
        0.61055            0.00000            300.00000
        0.61558            0.00000            300.00000
        0.62060            0.00000            300.00000
        0.62563            0.00000            300.00000
        0.63065            0.00000            300.00000
        0.63568            0.00000            300.00000
        0.64070            0.00000            300.00000
        0.64573            0.00000            300.00000
        0.65075            0.00000            300.00000
        0.65578            0.00000            300.00000
        0.66080            0.00000            300.00000
        0.66583            0.00000            300.00000
        0.67085            0.00000            300.00000
        0.67588            0.00000            300.00000
        0.68090            0.00000            300.00000
        0.68593            0.00000            300.00000
        0.69096            0.00000            300.00000
        0.69598            0.00000            300.00000
        0.70101            0.00000            300.00000
        0.70603            0.00000            300.00000
        0.71106            0.00000            300.00000
        0.71608            0.00000            300.00000
        0.72111            0.00000            300.00000
        0.72613            0.00000            300.00000
        0.73116            0.00000            300.00000
        0.73618            0.00000            300.00000
        0.74121            0.00000            300.00000
        0.74623            0.00000            300.00000
        0.75126            0.00000            300.00000
        0.75628            0.00000            300.00000
        0.76131            0.00000            300.00000
        0.76633            0.00000            300.00000
        0.77136            0.00000            300.00000
        0.77638            0.00000            300.00000
        0.78141            0.00000            300.00000
        0.78643            0.00000            300.00000
        0.79146            0.00000            300.00000
        0.79648            0.00000            300.00000
        0.80151            0.00000            300.00000
        0.80653            0.00000            300.00000
        0.81156            0.00000            300.00000
        0.81658            0.00000            300.00000
        0.82161            0.00000            300.00000
        0.82663            0.00000            300.00000
        0.83166            0.00000            300.00000
        0.83668            0.00000            300.00000
        0.84171            0.00000            300.00000
        0.84673            0.00000            300.00000
        0.85176            0.00000            300.00000
        0.85678            0.00000            300.00000
        0.86181            0.00000            300.00000
        0.86684            0.00000            300.00000
        0.87186            0.00000            300.00000
        0.87689            0.00000            300.00000
        0.88191            0.00000            300.00000
        0.88694            0.00000            300.00000
        0.89196            0.00000            300.00000
        0.89699            0.00000            300.00000
        0.90201            0.00000            300.00000
        0.90704            0.00000            300.00000
        0.91206            0.00000            300.00000
        0.91709            0.00000            300.00000
        0.92211            0.00000            300.00000
        0.92714            0.00000            300.00000
        0.93216            0.00000            300.00000
        0.93719            0.00000            300.00000
        0.94221            0.00000            300.00000
        0.94724            0.00000            300.00000
        0.95226            0.00000            300.00000
        0.95729            0.00000            300.00000
        0.96231            0.00000            300.00000
        0.96734            0.00000            300.00000
        0.97236            0.00000            300.00000
        0.97739            0.00000            300.00000
        0.98241            0.00000            300.00000
        0.98744            0.00000            300.00000
        0.99246            0.00000            300.00000
        0.99749            0.00000            300.00000
        1.00000            0.00000            327.37234
        0.00000            0.00251            500.00000
        0.00251            0.00251            400.00327
        0.00754            0.00251            345.36050
        0.01256            0.00251            326.77344
        0.01759            0.00251            318.70218
        0.02261            0.00251            314.38474
        0.02764            0.00251            311.71036
        0.03266            0.00251            309.88675
        0.03769            0.00251            308.56104
        0.04271            0.00251            307.55276
        0.04774            0.00251            306.75983
        0.05276            0.00251            306.11975
        0.05779            0.00251            305.59225
        0.06281            0.00251            305.15009
        0.06784            0.00251            304.77420
        0.07286            0.00251            304.45074
        0.07789            0.00251            304.16949
        0.08291            0.00251            303.92273
        0.08794            0.00251            303.70456
        0.09296            0.00251            303.51028
        0.09799            0.00251            303.33621
        0.10302            0.00251            303.17935
        0.10804            0.00251            303.03738
        0.11307            0.00251            302.90820
        0.11809            0.00251            302.79025
        0.12312            0.00251            302.68216
        0.12814            0.00251            302.58267
        0.13317            0.00251            302.49094
        0.13819            0.00251            302.40594
        0.14322            0.00251            302.32712
        0.14824            0.00251            302.25378
        0.15327            0.00251            302.18539
        0.15829            0.00251            302.12149
